identifier,gender,test preparation course,test,score
358,group A,completed,reading score,66
358,group A,completed,writing score,69
359,group B,none,math score,59
359,group B,none,reading score,62
359,group B,none,writing score,61
360,group A,none,math score,80
360,group A,none,reading score,90
360,group A,none,writing score,89
361,group A,none,math score,58
361,group A,none,reading score,62
361,group A,none,writing score,59
362,group B,completed,math score,85
362,group B,completed,reading score,84
362,group B,completed,writing score,78
363,group A,none,math score,52
363,group A,none,reading score,58
363,group A,none,writing score,58
364,group A,none,math score,27
364,group A,none,reading score,34
364,group A,none,writing score,32
365,group B,none,math score,59
365,group B,none,reading score,60
365,group B,none,writing score,58
366,group B,completed,math score,49
366,group B,completed,reading score,58
366,group B,completed,writing score,60
367,group B,completed,math score,69
367,group B,completed,reading score,58
367,group B,completed,writing score,53
368,group B,none,math score,61
368,group B,none,reading score,66
368,group B,none,writing score,61
369,group A,none,math score,44
369,group A,none,reading score,64
369,group A,none,writing score,58
370,group A,none,math score,73
370,group A,none,reading score,84
370,group A,none,writing score,85
371,group B,none,math score,84
371,group B,none,reading score,77
371,group B,none,writing score,71
372,group A,completed,math score,45
372,group A,completed,reading score,73
372,group A,completed,writing score,70
373,group B,none,math score,74
373,group B,none,reading score,74
373,group B,none,writing score,72
374,group A,completed,math score,82
374,group A,completed,reading score,97
374,group A,completed,writing score,96
375,group A,none,math score,59
375,group A,none,reading score,70
375,group A,none,writing score,73
376,group B,none,math score,46
376,group B,none,reading score,43
376,group B,none,writing score,41
377,group A,none,math score,80
377,group A,none,reading score,90
377,group A,none,writing score,82
378,group A,completed,math score,85
378,group A,completed,reading score,95
378,group A,completed,writing score,100
379,group A,none,math score,71
379,group A,none,reading score,83
379,group A,none,writing score,77
380,group B,none,math score,66
380,group B,none,reading score,64
380,group B,none,writing score,62
381,group A,none,math score,80
381,group A,none,reading score,86
381,group A,none,writing score,83
382,group B,completed,math score,87
382,group B,completed,reading score,100
382,group B,completed,writing score,95
383,group B,none,math score,79
383,group B,none,reading score,81
383,group B,none,writing score,71
384,group A,none,math score,38
384,group A,none,reading score,49
384,group A,none,writing score,45
385,group A,none,math score,38
385,group A,none,reading score,43
385,group A,none,writing score,43
386,group A,none,math score,67
386,group A,none,reading score,76
386,group A,none,writing score,75
387,group A,none,math score,64
387,group A,none,reading score,73
387,group A,none,writing score,70
388,group A,none,math score,57
388,group A,none,reading score,78
388,group A,none,writing score,67
389,group A,none,math score,62
389,group A,none,reading score,64
389,group A,none,writing score,64
390,group B,none,math score,73
390,group B,none,reading score,70
390,group B,none,writing score,75
391,group B,completed,math score,73
391,group B,completed,reading score,67
391,group B,completed,writing score,59
392,group A,none,math score,77
392,group A,none,reading score,68
392,group A,none,writing score,77
393,group B,none,math score,76
393,group B,none,reading score,67
393,group B,none,writing score,67
394,group B,completed,math score,57
394,group B,completed,reading score,54
394,group B,completed,writing score,56
395,group A,completed,math score,65
395,group A,completed,reading score,74
395,group A,completed,writing score,77
396,group B,none,math score,48
396,group B,none,reading score,45
396,group B,none,writing score,41
397,group A,none,math score,50
397,group A,none,reading score,67
397,group A,none,writing score,63
398,group A,none,math score,85
398,group A,none,reading score,89
398,group A,none,writing score,95
399,group B,none,math score,74
399,group B,none,reading score,63
399,group B,none,writing score,57
400,group B,none,math score,60
400,group B,none,reading score,59
400,group B,none,writing score,54
401,group A,completed,math score,59
401,group A,completed,reading score,54
401,group A,completed,writing score,67
402,group B,none,math score,53
402,group B,none,reading score,43
402,group B,none,writing score,43
403,group A,none,math score,49
403,group A,none,reading score,65
403,group A,none,writing score,55
404,group A,completed,math score,88
404,group A,completed,reading score,99
404,group A,completed,writing score,100
405,group A,none,math score,54
405,group A,none,reading score,59
405,group A,none,writing score,62
406,group A,none,math score,63
406,group A,none,reading score,73
406,group A,none,writing score,68
407,group B,completed,math score,65
407,group B,completed,reading score,65
407,group B,completed,writing score,63
408,group A,none,math score,82
408,group A,none,reading score,80
408,group A,none,writing score,77
409,group A,completed,math score,52
409,group A,completed,reading score,57
409,group A,completed,writing score,56
410,group B,completed,math score,87
410,group B,completed,reading score,84
410,group B,completed,writing score,85
411,group A,completed,math score,70
411,group A,completed,reading score,71
411,group A,completed,writing score,74
412,group B,completed,math score,84
412,group B,completed,reading score,83
412,group B,completed,writing score,78
413,group B,none,math score,71
413,group B,none,reading score,66
413,group B,none,writing score,60
414,group B,completed,math score,63
414,group B,completed,reading score,67
414,group B,completed,writing score,67
415,group A,completed,math score,51
415,group A,completed,reading score,72
415,group A,completed,writing score,79
416,group B,none,math score,84
416,group B,none,reading score,73
416,group B,none,writing score,69
417,group B,completed,math score,71
417,group B,completed,reading score,74
417,group B,completed,writing score,68
418,group B,none,math score,74
418,group B,none,reading score,73
418,group B,none,writing score,67
419,group B,none,math score,68
419,group B,none,reading score,59
419,group B,none,writing score,62
420,group B,completed,math score,57
420,group B,completed,reading score,56
420,group B,completed,writing score,54
421,group A,completed,math score,82
421,group A,completed,reading score,93
421,group A,completed,writing score,93
422,group A,completed,math score,57
422,group A,completed,reading score,58
422,group A,completed,writing score,64
423,group A,completed,math score,47
423,group A,completed,reading score,58
423,group A,completed,writing score,67
424,group A,completed,math score,59
424,group A,completed,reading score,85
424,group A,completed,writing score,80
425,group B,none,math score,41
425,group B,none,reading score,39
425,group B,none,writing score,34
426,group A,none,math score,62
426,group A,none,reading score,67
426,group A,none,writing score,62
427,group B,none,math score,86
427,group B,none,reading score,83
427,group B,none,writing score,86
428,group B,none,math score,69
428,group B,none,reading score,71
428,group B,none,writing score,65
429,group B,none,math score,65
429,group B,none,reading score,59
429,group B,none,writing score,53
430,group B,none,math score,68
430,group B,none,reading score,63
430,group B,none,writing score,54
431,group B,none,math score,64
431,group B,none,reading score,66
431,group B,none,writing score,59
432,group A,none,math score,61
432,group A,none,reading score,72
432,group A,none,writing score,70
433,group B,none,math score,61
433,group B,none,reading score,56
433,group B,none,writing score,55
434,group A,none,math score,47
434,group A,none,reading score,59
434,group A,none,writing score,50
435,group B,none,math score,73
435,group B,none,reading score,66
435,group B,none,writing score,66
436,group B,completed,math score,50
436,group B,completed,reading score,48
436,group B,completed,writing score,53
437,group B,none,math score,75
437,group B,none,reading score,68
437,group B,none,writing score,64
438,group B,none,math score,75
438,group B,none,reading score,66
438,group B,none,writing score,73
439,group B,none,math score,70
439,group B,none,reading score,56
439,group B,none,writing score,51
440,group B,completed,math score,89
440,group B,completed,reading score,88
440,group B,completed,writing score,82
441,group A,completed,math score,67
441,group A,completed,reading score,81
441,group A,completed,writing score,79
442,group A,none,math score,78
442,group A,none,reading score,81
442,group A,none,writing score,80
443,group A,none,math score,59
443,group A,none,reading score,73
443,group A,none,writing score,69
444,group A,none,math score,73
444,group A,none,reading score,83
444,group A,none,writing score,76
445,group B,none,math score,79
445,group B,none,reading score,82
445,group B,none,writing score,73
446,group A,completed,math score,67
446,group A,completed,reading score,74
446,group A,completed,writing score,77
447,group B,none,math score,69
447,group B,none,reading score,66
447,group B,none,writing score,60
448,group B,completed,math score,86
448,group B,completed,reading score,81
448,group B,completed,writing score,80
449,group B,none,math score,47
449,group B,none,reading score,46
449,group B,none,writing score,42
450,group B,none,math score,81
450,group B,none,reading score,73
450,group B,none,writing score,72
451,group A,completed,math score,64
451,group A,completed,reading score,85
451,group A,completed,writing score,85
452,group A,none,math score,100
452,group A,none,reading score,92
452,group A,none,writing score,97
453,group A,none,math score,65
453,group A,none,reading score,77
453,group A,none,writing score,74
454,group B,none,math score,65
454,group B,none,reading score,58
454,group B,none,writing score,49
455,group A,none,math score,53
455,group A,none,reading score,61
455,group A,none,writing score,62
456,group B,none,math score,37
456,group B,none,reading score,56
456,group B,none,writing score,47
457,group A,none,math score,79
457,group A,none,reading score,89
457,group A,none,writing score,89
458,group B,none,math score,53
458,group B,none,reading score,54
458,group B,none,writing score,48
459,group A,none,math score,100
459,group A,none,reading score,100
459,group A,none,writing score,100
460,group B,completed,math score,72
460,group B,completed,reading score,65
460,group B,completed,writing score,68
461,group B,none,math score,53
461,group B,none,reading score,58
461,group B,none,writing score,55
462,group B,none,math score,54
462,group B,none,reading score,54
462,group B,none,writing score,45
463,group A,none,math score,71
463,group A,none,reading score,70
463,group A,none,writing score,76
464,group A,none,math score,77
464,group A,none,reading score,90
464,group A,none,writing score,91
465,group B,completed,math score,75
465,group B,completed,reading score,58
465,group B,completed,writing score,62
466,group A,none,math score,84
466,group A,none,reading score,87
466,group A,none,writing score,91
467,group A,none,math score,26
467,group A,none,reading score,31
467,group A,none,writing score,38
468,group B,completed,math score,72
468,group B,completed,reading score,67
468,group B,completed,writing score,65
469,group A,completed,math score,77
469,group A,completed,reading score,88
469,group A,completed,writing score,85
470,group B,none,math score,91
470,group B,none,reading score,74
470,group B,none,writing score,76
471,group A,completed,math score,83
471,group A,completed,reading score,85
471,group A,completed,writing score,90
472,group A,none,math score,63
472,group A,none,reading score,69
472,group A,none,writing score,74
473,group A,completed,math score,68
473,group A,completed,reading score,86
473,group A,completed,writing score,84
474,group A,none,math score,59
474,group A,none,reading score,67
474,group A,none,writing score,61
475,group A,completed,math score,90
475,group A,completed,reading score,90
475,group A,completed,writing score,91
476,group A,completed,math score,71
476,group A,completed,reading score,76
476,group A,completed,writing score,83
477,group B,completed,math score,76
477,group B,completed,reading score,62
477,group B,completed,writing score,66
478,group B,none,math score,80
478,group B,none,reading score,68
478,group B,none,writing score,72
479,group A,none,math score,55
479,group A,none,reading score,64
479,group A,none,writing score,70
480,group B,none,math score,76
480,group B,none,reading score,71
480,group B,none,writing score,67
481,group B,completed,math score,73
481,group B,completed,reading score,71
481,group B,completed,writing score,68
482,group A,none,math score,52
482,group A,none,reading score,59
482,group A,none,writing score,56
483,group B,none,math score,68
483,group B,none,reading score,68
483,group B,none,writing score,61
484,group B,none,math score,59
484,group B,none,reading score,52
484,group B,none,writing score,46
485,group A,none,math score,49
485,group A,none,reading score,52
485,group A,none,writing score,54
486,group B,none,math score,70
486,group B,none,reading score,74
486,group B,none,writing score,71
487,group B,none,math score,61
487,group B,none,reading score,47
487,group B,none,writing score,56
488,group A,none,math score,60
488,group A,none,reading score,75
488,group A,none,writing score,74
489,group B,completed,math score,64
489,group B,completed,reading score,53
489,group B,completed,writing score,57
490,group B,completed,math score,79
490,group B,completed,reading score,82
490,group B,completed,writing score,82
491,group A,none,math score,65
491,group A,none,reading score,85
491,group A,none,writing score,76
492,group A,none,math score,64
492,group A,none,reading score,64
492,group A,none,writing score,70
493,group A,none,math score,83
493,group A,none,reading score,83
493,group A,none,writing score,90
494,group A,none,math score,81
494,group A,none,reading score,88
494,group A,none,writing score,90
495,group A,none,math score,54
495,group A,none,reading score,64
495,group A,none,writing score,68
496,group B,completed,math score,68
496,group B,completed,reading score,64
496,group B,completed,writing score,66
497,group A,none,math score,54
497,group A,none,reading score,48
497,group A,none,writing score,52
498,group A,completed,math score,59
498,group A,completed,reading score,78
498,group A,completed,writing score,76
499,group A,none,math score,66
499,group A,none,reading score,69
499,group A,none,writing score,68
500,group B,none,math score,76
500,group B,none,reading score,71
500,group B,none,writing score,72
501,group A,none,math score,74
501,group A,none,reading score,79
501,group A,none,writing score,82
502,group A,completed,math score,94
502,group A,completed,reading score,87
502,group A,completed,writing score,92
503,group B,none,math score,63
503,group B,none,reading score,61
503,group B,none,writing score,54
504,group A,completed,math score,95
504,group A,completed,reading score,89
504,group A,completed,writing score,92
505,group A,none,math score,40
505,group A,none,reading score,59
505,group A,none,writing score,54
506,group A,none,math score,82
506,group A,none,reading score,82
506,group A,none,writing score,80
507,group B,none,math score,68
507,group B,none,reading score,70
507,group B,none,writing score,66
508,group B,none,math score,55
508,group B,none,reading score,59
508,group B,none,writing score,54
509,group B,none,math score,79
509,group B,none,reading score,78
509,group B,none,writing score,77
510,group A,none,math score,86
510,group A,none,reading score,92
510,group A,none,writing score,87
511,group B,none,math score,76
511,group B,none,reading score,71
511,group B,none,writing score,73
512,group B,none,math score,64
512,group B,none,reading score,50
512,group B,none,writing score,43
513,group B,none,math score,62
513,group B,none,reading score,49
513,group B,none,writing score,52
514,group A,completed,math score,54
514,group A,completed,reading score,61
514,group A,completed,writing score,62
515,group A,completed,math score,77
515,group A,completed,reading score,97
515,group A,completed,writing score,94
516,group A,completed,math score,76
516,group A,completed,reading score,87
516,group A,completed,writing score,85
517,group A,none,math score,74
517,group A,none,reading score,89
517,group A,none,writing score,84
518,group A,completed,math score,66
518,group A,completed,reading score,74
518,group A,completed,writing score,73
519,group A,completed,math score,66
519,group A,completed,reading score,78
519,group A,completed,writing score,78
520,group A,completed,math score,67
520,group A,completed,reading score,78
520,group A,completed,writing score,79
521,group B,none,math score,71
521,group B,none,reading score,49
521,group B,none,writing score,52
522,group A,none,math score,91
522,group A,none,reading score,86
522,group A,none,writing score,84
523,group B,none,math score,69
523,group B,none,reading score,58
523,group B,none,writing score,57
524,group B,none,math score,54
524,group B,none,reading score,59
524,group B,none,writing score,50
525,group B,completed,math score,53
525,group B,completed,reading score,52
525,group B,completed,writing score,49
526,group B,none,math score,68
526,group B,none,reading score,60
526,group B,none,writing score,59
527,group B,completed,math score,56
527,group B,completed,reading score,61
527,group B,completed,writing score,60
528,group A,none,math score,36
528,group A,none,reading score,53
528,group A,none,writing score,43
529,group A,none,math score,29
529,group A,none,reading score,41
529,group A,none,writing score,47
530,group A,none,math score,62
530,group A,none,reading score,74
530,group A,none,writing score,70
531,group A,completed,math score,68
531,group A,completed,reading score,67
531,group A,completed,writing score,73
532,group A,none,math score,47
532,group A,none,reading score,54
532,group A,none,writing score,53
533,group B,completed,math score,62
533,group B,completed,reading score,61
533,group B,completed,writing score,58
534,group A,completed,math score,79
534,group A,completed,reading score,88
534,group A,completed,writing score,94
535,group B,completed,math score,73
535,group B,completed,reading score,69
535,group B,completed,writing score,68
536,group A,completed,math score,66
536,group A,completed,reading score,83
536,group A,completed,writing score,83
537,group B,completed,math score,51
537,group B,completed,reading score,60
537,group B,completed,writing score,58
538,group A,none,math score,51
538,group A,none,reading score,66
538,group A,none,writing score,62
539,group B,completed,math score,85
539,group B,completed,reading score,66
539,group B,completed,writing score,71
540,group B,completed,math score,97
540,group B,completed,reading score,92
540,group B,completed,writing score,86
541,group B,completed,math score,75
541,group B,completed,reading score,69
541,group B,completed,writing score,68
542,group B,completed,math score,79
542,group B,completed,reading score,82
542,group B,completed,writing score,80
543,group A,none,math score,81
543,group A,none,reading score,77
543,group A,none,writing score,79
544,group A,none,math score,82
544,group A,none,reading score,95
544,group A,none,writing score,89
545,group A,none,math score,64
545,group A,none,reading score,63
545,group A,none,writing score,66
546,group B,completed,math score,78
546,group B,completed,reading score,83
546,group B,completed,writing score,80
547,group A,completed,math score,92
547,group A,completed,reading score,100
547,group A,completed,writing score,97
548,group B,completed,math score,72
548,group B,completed,reading score,67
548,group B,completed,writing score,64
549,group A,none,math score,62
549,group A,none,reading score,67
549,group A,none,writing score,64
550,group B,none,math score,79
550,group B,none,reading score,72
550,group B,none,writing score,69
551,group B,none,math score,79
551,group B,none,reading score,76
551,group B,none,writing score,65
552,group B,completed,math score,87
552,group B,completed,reading score,90
552,group B,completed,writing score,88
553,group A,none,math score,40
553,group A,none,reading score,48
553,group A,none,writing score,50
554,group B,none,math score,77
554,group B,none,reading score,62
554,group B,none,writing score,64
555,group B,none,math score,53
555,group B,none,reading score,45
555,group B,none,writing score,40
556,group A,none,math score,32
556,group A,none,reading score,39
556,group A,none,writing score,33
557,group A,completed,math score,55
557,group A,completed,reading score,72
557,group A,completed,writing score,79
558,group B,none,math score,61
558,group B,none,reading score,67
558,group B,none,writing score,66
559,group A,none,math score,53
559,group A,none,reading score,70
559,group A,none,writing score,70
560,group B,none,math score,73
560,group B,none,reading score,66
560,group B,none,writing score,62
561,group A,completed,math score,74
561,group A,completed,reading score,75
561,group A,completed,writing score,79
562,group A,none,math score,63
562,group A,none,reading score,74
562,group A,none,writing score,74
563,group B,completed,math score,96
563,group B,completed,reading score,90
563,group B,completed,writing score,92
564,group A,completed,math score,63
564,group A,completed,reading score,80
564,group A,completed,writing score,80
565,group B,none,math score,48
565,group B,none,reading score,51
565,group B,none,writing score,46
566,group B,none,math score,48
566,group B,none,reading score,43
566,group B,none,writing score,45
567,group A,completed,math score,92
567,group A,completed,reading score,100
567,group A,completed,writing score,100
568,group A,completed,math score,61
568,group A,completed,reading score,71
568,group A,completed,writing score,78
569,group B,none,math score,63
569,group B,none,reading score,48
569,group B,none,writing score,47
570,group B,none,math score,68
570,group B,none,reading score,68
570,group B,none,writing score,67
571,group B,completed,math score,71
571,group B,completed,reading score,75
571,group B,completed,writing score,70
572,group B,none,math score,91
572,group B,none,reading score,96
572,group B,none,writing score,92
573,group A,none,math score,53
573,group A,none,reading score,62
573,group A,none,writing score,56
574,group A,completed,math score,50
574,group A,completed,reading score,66
574,group A,completed,writing score,64
575,group A,none,math score,74
575,group A,none,reading score,81
575,group A,none,writing score,71
576,group B,completed,math score,40
576,group B,completed,reading score,55
576,group B,completed,writing score,53
577,group B,completed,math score,61
577,group B,completed,reading score,51
577,group B,completed,writing score,52
578,group A,none,math score,81
578,group A,none,reading score,91
578,group A,none,writing score,89
579,group A,completed,math score,48
579,group A,completed,reading score,56
579,group A,completed,writing score,58
580,group A,none,math score,53
580,group A,none,reading score,61
580,group A,none,writing score,68
581,group A,none,math score,81
581,group A,none,reading score,97
581,group A,none,writing score,96
582,group A,none,math score,77
582,group A,none,reading score,79
582,group A,none,writing score,80
583,group A,none,math score,63
583,group A,none,reading score,73
583,group A,none,writing score,78
584,group A,completed,math score,73
584,group A,completed,reading score,75
584,group A,completed,writing score,80
585,group A,none,math score,69
585,group A,none,reading score,77
585,group A,none,writing score,77
586,group A,none,math score,65
586,group A,none,reading score,76
586,group A,none,writing score,76
587,group A,none,math score,55
587,group A,none,reading score,73
587,group A,none,writing score,73
588,group A,none,math score,44
588,group A,none,reading score,63
588,group A,none,writing score,62
589,group A,none,math score,54
589,group A,none,reading score,64
589,group A,none,writing score,65
590,group A,none,math score,48
590,group A,none,reading score,66
590,group A,none,writing score,65
591,group B,none,math score,58
591,group B,none,reading score,57
591,group B,none,writing score,54
592,group B,none,math score,71
592,group B,none,reading score,62
592,group B,none,writing score,50
593,group B,none,math score,68
593,group B,none,reading score,68
593,group B,none,writing score,64
594,group A,none,math score,74
594,group A,none,reading score,76
594,group A,none,writing score,73
595,group A,completed,math score,92
595,group A,completed,reading score,100
595,group A,completed,writing score,99
596,group A,completed,math score,56
596,group A,completed,reading score,79
596,group A,completed,writing score,72
597,group B,none,math score,30
597,group B,none,reading score,24
597,group B,none,writing score,15
598,group B,none,math score,53
598,group B,none,reading score,54
598,group B,none,writing score,48
599,group A,none,math score,69
599,group A,none,reading score,77
599,group A,none,writing score,73
600,group A,none,math score,65
600,group A,none,reading score,82
600,group A,none,writing score,81
601,group A,none,math score,54
601,group A,none,reading score,60
601,group A,none,writing score,63
602,group A,none,math score,29
602,group A,none,reading score,29
602,group A,none,writing score,30
603,group A,none,math score,76
603,group A,none,reading score,78
603,group A,none,writing score,80
604,group B,none,math score,60
604,group B,none,reading score,57
604,group B,none,writing score,51
605,group B,completed,math score,84
605,group B,completed,reading score,89
605,group B,completed,writing score,90
606,group B,none,math score,75
606,group B,none,reading score,72
606,group B,none,writing score,62
607,group A,none,math score,85
607,group A,none,reading score,84
607,group A,none,writing score,82
608,group A,none,math score,40
608,group A,none,reading score,58
608,group A,none,writing score,54
609,group A,none,math score,61
609,group A,none,reading score,64
609,group A,none,writing score,62
610,group A,none,math score,58
610,group A,none,reading score,63
610,group A,none,writing score,65
611,group B,completed,math score,69
611,group B,completed,reading score,60
611,group B,completed,writing score,63
612,group A,none,math score,58
612,group A,none,reading score,59
612,group A,none,writing score,66
613,group B,completed,math score,94
613,group B,completed,reading score,90
613,group B,completed,writing score,91
614,group A,none,math score,65
614,group A,none,reading score,77
614,group A,none,writing score,74
615,group A,none,math score,82
615,group A,none,reading score,93
615,group A,none,writing score,93
616,group A,none,math score,60
616,group A,none,reading score,68
616,group A,none,writing score,72
617,group A,none,math score,37
617,group A,none,reading score,45
617,group A,none,writing score,38
618,group B,none,math score,88
618,group B,none,reading score,78
618,group B,none,writing score,83
619,group B,none,math score,95
619,group B,none,reading score,81
619,group B,none,writing score,84
620,group B,completed,math score,65
620,group B,completed,reading score,73
620,group B,completed,writing score,68
621,group A,none,math score,35
621,group A,none,reading score,61
621,group A,none,writing score,54
622,group B,none,math score,62
622,group B,none,reading score,63
622,group B,none,writing score,56
623,group B,completed,math score,58
623,group B,completed,reading score,51
623,group B,completed,writing score,52
624,group B,completed,math score,100
624,group B,completed,reading score,96
624,group B,completed,writing score,86
625,group A,none,math score,61
625,group A,none,reading score,58
625,group A,none,writing score,62
626,group B,completed,math score,100
626,group B,completed,reading score,97
626,group B,completed,writing score,99
627,group B,completed,math score,69
627,group B,completed,reading score,70
627,group B,completed,writing score,63
628,group B,none,math score,61
628,group B,none,reading score,48
628,group B,none,writing score,46
629,group B,none,math score,49
629,group B,none,reading score,57
629,group B,none,writing score,46
630,group A,completed,math score,44
630,group A,completed,reading score,51
630,group A,completed,writing score,55
631,group B,none,math score,67
631,group B,none,reading score,64
631,group B,none,writing score,70
632,group B,none,math score,79
632,group B,none,reading score,60
632,group B,none,writing score,65
633,group A,completed,math score,66
633,group A,completed,reading score,74
633,group A,completed,writing score,81
634,group A,none,math score,75
634,group A,none,reading score,88
634,group A,none,writing score,85
635,group B,none,math score,84
635,group B,none,reading score,84
635,group B,none,writing score,80
636,group B,none,math score,71
636,group B,none,reading score,74
636,group B,none,writing score,64
637,group A,completed,math score,67
637,group A,completed,reading score,80
637,group A,completed,writing score,81
638,group A,completed,math score,80
638,group A,completed,reading score,92
638,group A,completed,writing score,88
639,group B,none,math score,86
639,group B,none,reading score,76
639,group B,none,writing score,74
640,group A,none,math score,76
640,group A,none,reading score,74
640,group A,none,writing score,73
641,group B,none,math score,41
641,group B,none,reading score,52
641,group B,none,writing score,51
642,group A,completed,math score,74
642,group A,completed,reading score,88
642,group A,completed,writing score,90
643,group A,none,math score,72
643,group A,none,reading score,81
643,group A,none,writing score,79
644,group A,completed,math score,74
644,group A,completed,reading score,79
644,group A,completed,writing score,80
645,group B,none,math score,70
645,group B,none,reading score,65
645,group B,none,writing score,60
646,group A,completed,math score,65
646,group A,completed,reading score,81
646,group A,completed,writing score,81
647,group A,none,math score,59
647,group A,none,reading score,70
647,group A,none,writing score,65
648,group A,none,math score,64
648,group A,none,reading score,62
648,group A,none,writing score,68
649,group A,none,math score,50
649,group A,none,reading score,53
649,group A,none,writing score,55
650,group A,completed,math score,69
650,group A,completed,reading score,79
650,group A,completed,writing score,81
651,group B,completed,math score,51
651,group B,completed,reading score,56
651,group B,completed,writing score,53
652,group A,completed,math score,68
652,group A,completed,reading score,80
652,group A,completed,writing score,76
653,group A,completed,math score,85
653,group A,completed,reading score,86
653,group A,completed,writing score,98
654,group A,completed,math score,65
654,group A,completed,reading score,70
654,group A,completed,writing score,74
655,group A,none,math score,73
655,group A,none,reading score,79
655,group A,none,writing score,79
656,group A,none,math score,62
656,group A,none,reading score,67
656,group A,none,writing score,67
657,group B,none,math score,77
657,group B,none,reading score,67
657,group B,none,writing score,64
658,group B,none,math score,69
658,group B,none,reading score,66
658,group B,none,writing score,61
659,group A,none,math score,43
659,group A,none,reading score,60
659,group A,none,writing score,58
660,group B,none,math score,90
660,group B,none,reading score,87
660,group B,none,writing score,85
661,group B,none,math score,74
661,group B,none,reading score,77
661,group B,none,writing score,73
662,group B,none,math score,73
662,group B,none,reading score,66
662,group B,none,writing score,63
663,group A,none,math score,55
663,group A,none,reading score,71
663,group A,none,writing score,69
664,group A,none,math score,65
664,group A,none,reading score,69
664,group A,none,writing score,67
665,group B,none,math score,80
665,group B,none,reading score,63
665,group B,none,writing score,63
666,group A,completed,math score,50
666,group A,completed,reading score,60
666,group A,completed,writing score,60
667,group A,completed,math score,63
667,group A,completed,reading score,73
667,group A,completed,writing score,71
668,group A,none,math score,77
668,group A,none,reading score,85
668,group A,none,writing score,87
669,group B,none,math score,73
669,group B,none,reading score,74
669,group B,none,writing score,61
670,group B,completed,math score,81
670,group B,completed,reading score,72
670,group B,completed,writing score,77
671,group A,none,math score,66
671,group A,none,reading score,76
671,group A,none,writing score,68
672,group B,none,math score,52
672,group B,none,reading score,57
672,group B,none,writing score,50
673,group A,none,math score,69
673,group A,none,reading score,78
673,group A,none,writing score,76
674,group A,completed,math score,65
674,group A,completed,reading score,84
674,group A,completed,writing score,84
675,group A,completed,math score,69
675,group A,completed,reading score,77
675,group A,completed,writing score,78
676,group A,completed,math score,50
676,group A,completed,reading score,64
676,group A,completed,writing score,66
677,group A,completed,math score,73
677,group A,completed,reading score,78
677,group A,completed,writing score,76
678,group A,completed,math score,70
678,group A,completed,reading score,82
678,group A,completed,writing score,76
679,group B,none,math score,81
679,group B,none,reading score,75
679,group B,none,writing score,78
680,group B,none,math score,63
680,group B,none,reading score,61
680,group B,none,writing score,60
681,group A,none,math score,67
681,group A,none,reading score,72
681,group A,none,writing score,74
682,group B,none,math score,60
682,group B,none,reading score,68
682,group B,none,writing score,60
683,group B,none,math score,62
683,group B,none,reading score,55
683,group B,none,writing score,54
684,group A,completed,math score,29
684,group A,completed,reading score,40
684,group A,completed,writing score,44
685,group B,completed,math score,62
685,group B,completed,reading score,66
685,group B,completed,writing score,68
686,group A,completed,math score,94
686,group A,completed,reading score,99
686,group A,completed,writing score,100
687,group B,completed,math score,85
687,group B,completed,reading score,75
687,group B,completed,writing score,68
688,group B,none,math score,77
688,group B,none,reading score,78
688,group B,none,writing score,73
689,group B,none,math score,53
689,group B,none,reading score,58
689,group B,none,writing score,44
690,group B,none,math score,93
690,group B,none,reading score,90
690,group B,none,writing score,83
691,group A,none,math score,49
691,group A,none,reading score,53
691,group A,none,writing score,53
692,group A,none,math score,73
692,group A,none,reading score,76
692,group A,none,writing score,78
693,group A,completed,math score,66
693,group A,completed,reading score,74
693,group A,completed,writing score,81
694,group A,none,math score,77
694,group A,none,reading score,77
694,group A,none,writing score,73
695,group A,none,math score,49
695,group A,none,reading score,63
695,group A,none,writing score,56
696,group A,none,math score,79
696,group A,none,reading score,89
696,group A,none,writing score,86
697,group A,completed,math score,75
697,group A,completed,reading score,82
697,group A,completed,writing score,90
698,group A,none,math score,59
698,group A,none,reading score,72
698,group A,none,writing score,70
699,group A,completed,math score,57
699,group A,completed,reading score,78
699,group A,completed,writing score,79
700,group B,none,math score,66
700,group B,none,reading score,66
700,group B,none,writing score,59
701,group A,completed,math score,79
701,group A,completed,reading score,81
701,group A,completed,writing score,82
702,group A,none,math score,57
702,group A,none,reading score,67
702,group A,none,writing score,72
703,group B,completed,math score,87
703,group B,completed,reading score,84
703,group B,completed,writing score,87
704,group A,none,math score,63
704,group A,none,reading score,64
704,group A,none,writing score,67
705,group A,completed,math score,59
705,group A,completed,reading score,63
705,group A,completed,writing score,64
706,group B,none,math score,62
706,group B,none,reading score,72
706,group B,none,writing score,65
707,group B,none,math score,46
707,group B,none,reading score,34
707,group B,none,writing score,36
708,group B,none,math score,66
708,group B,none,reading score,59
708,group B,none,writing score,52
709,group B,none,math score,89
709,group B,none,reading score,87
709,group B,none,writing score,79
710,group A,completed,math score,42
710,group A,completed,reading score,61
710,group A,completed,writing score,58
711,group B,completed,math score,93
711,group B,completed,reading score,84
711,group B,completed,writing score,90
712,group A,completed,math score,80
712,group A,completed,reading score,85
712,group A,completed,writing score,85
713,group A,none,math score,98
713,group A,none,reading score,100
713,group A,none,writing score,99
714,group B,none,math score,81
714,group B,none,reading score,81
714,group B,none,writing score,84
715,group A,completed,math score,60
715,group A,completed,reading score,70
715,group A,completed,writing score,74
716,group A,completed,math score,76
