index,character,voice-actor,movie
512,Lizzy Griffths,Lauren Mote,Tinker Bell and the Great Fairy Rescue
513,Louie,Clarence Nash; Russi Taylor,Donald's Nephews
514,Louie the Hot Dog Man,Frank Welker,Oliver & Company
515,Louis the Alligator,Michael-Leon Wooley,The Princess and the Frog
516,Lucifer the Cat,June Foray,Cinderella
517,Lucille Krunklehorn,Laurie Metcalf,Meet the Robinsons
518,Lucky,Mimi Gibson,One Hundred and One Dalmatians
519,Lucky Jack,Charles Haid,Home on the Range
520,Ludwig Von Drake,Paul Frees,An Adventure in Color
521,Luke,Pat Buttram,The Rescuers
522,Lumière,Jerry Orbach,Beauty and the Beast
523,Lumpy the Heffalump,Kyle Stanger,Pooh's Heffalump Movie
524,Lyle,Jeff Foxworthy,The Fox and the Hound 2
525,Ma Beagle,June Foray,DuckTales
526,Mad Hatter,Ed Wynn,Alice in Wonderland
527,Madame Adelaide Bonfamille,Hermione Baddeley,The Aristocats
528,Madame Medusa,Geraldine Page,The Rescuers
529,Madam Mim,Martha Wentworth,The Sword in the Stone
530,Madame Upanova,Tress MacNeille,Fantasia
531,Madellaine,Jennifer Love Hewitt,The Hunchback of Notre Dame II
532,Maggie,Roseanne Barr,Home on the Range
533,Magic Carpet,None,Aladdin
534,The Magic Mirror,Moroni Olsen,Snow White and the Seven Dwarfs
535,Magica De Spell,June Foray,DuckTales
536,Mahra the Baboon,Tress MacNeille,Jungle Cubs
537,Maid Marian,Monica Evans,Robin Hood
538,Major the Horse,None,Cinderella
539,Maleficent,Eleanor Audley,Sleeping Beauty
540,Malina,Jessica Di Cicco,The Emperor's New School
541,Mama Odie,Jenifer Lewis,The Princess and the Frog
542,Man the Hunter,None,Bambi
543,Marahute,Frank Welker,The Rescuers Down Under
544,March Hare,Jerry Colonna,Alice in Wonderland
545,Marie,Liz English,The Aristocats
546,Markowski,Joe Lo Truglio,Wreck-It Ralph
547,Marlon the Alligator,Emeril Lagasse,The Princess and the Frog
548,Mary Darling,Heather Angel,Peter Pan
549,The Matchmaker,Miriam Margoyles,Mulan
550,Maui,Dwayne Johnson,Moana
551,Maurice,Rex Everhart,Beauty and the Beast
552,Max Goof,Dana Hill; Jason Marsden,Goof Troop
553,Max Hare,Ned Norton,The Tortoise and the Hare
554,Max the Sheepdog,Frank Welker,The Little Mermaid
555,Maximus,None,Tangled
556,May,None,House of Mouse
557,Mayor Lionheart,J.K. Simmons,Zootopia
558,Mechanicles,Charlie Adler,Aladdin
559,Meeko,John Kassir,Pocahontas
560,Megabyte Beagle,Frank Welker,DuckTales
561,Megara,Susan Egan,Hercules
562,Megavolt,Dan Castellaneta,Darkwing Duck
563,Melody,Tara Strong,The Little Mermaid II: Return to the Sea
564,Melinda,None,Fantasia
565,Melpomene,Cheryl Freeman,Hercules
566,Melvin,Fred Willard,Chicken Little
567,Mena,Cree Summer,Bambi II
568,Merlin,Karl Swenson,The Sword in the Stone
569,Merlock the Magician,Christopher Lloyd,DuckTales
570,Merryweather,Barbara Luddy,Sleeping Beauty
571,Michael Darling,Tommy Luske,Peter Pan
572,Mickey Mouse,Walt Disney,Steamboat Willie
573,Mike the Microphone,Rod Roddy,House of Mouse
574,Mildred,Angela Bassett,Meet the Robinsons
575,Milo Thatch,Michael J. Fox,Atlantis: The Lost Empire
576,Mindy,Kari Wahlgren,Bolt
577,Minnie Mouse,Walt Disney; Marcellite Garner,Plane Crazy
578,Minty Zaki,None,Wreck-It Ralph
579,Mirage,Bebe Neuwirth,Aladdin (TV series)
580,Miranda Wright,Karla DeVito,Bonkers
581,Miss Bianca,Eva Gabor,The Rescuers
582,Miss Kitty,Melissa Manchester,The Great Mouse Detective
583,Miss Nettle,Megan Mullally,Sofia the First
584,Mittens,Susie Essman,Bolt
585,Moana Waialiki,Auli'i Cravalho,Moana
586,Moley,Colin Campbell,The Adventures of Ichabod and Mr. Toad
587,Monsieur D'Arque,Tony Jay,Beauty and the Beast
588,Monstro,Thurl Ravenscroft,Pinocchio
589,Monterey Jack,Jim Cummings,Chip 'n Dale Rescue Rangers
590,Mooch,Bill Fagerbakke,Lady and the Tramp II: Scamp's Adventure
591,Morcupine Porcupine,Mark Dindal,Chicken Little
592,Morgana,Pat Carroll,The Little Mermaid II: Return to the Sea
593,Morgana McCawber,Kath Soucie,Darkwing Duck
594,Morph,Dane A. Davis,Treasure Planet
595,Mortimer Mouse,Maurice LaMarche,Mickey's Rival
596,Morty Fieldmouse,None,Mickey's Steam Roller
597,Mother Gothel,Donna Murphy,Tangled
598,Mother Rabbit,Barbara Luddy,Robin Hood
599,Mowgli,Bruce Reitherman,The Jungle Book
600,Mozenrath,Jonathan Brandis,Aladdin
601,Mr. Arrow,Roscoe Lee Browne,Treasure Planet
602,Mr. Big,Maurice LaMarche,Zootopia
603,Mr. Pettibone,Jeff Pidgeon,Mickey Mouse Clubhouse
604,Mr. Smee,Bill Thompson,Peter Pan
605,Mr. Snoops,Joe Flynn,The Rescuers
606,Mr. Stork,Sterling Holloway,Dumbo
607,Mr. Willerstein,Tom Kenny,Meet the Robinsons
608,Mr. Woolensworth,Patrick Stewart,Chicken Little
609,Mrs. Calloway,Judi Dench,Home on the Range
610,Mrs. Featherby,June Foray,DuckTales
611,Mrs. Hasagawa,Amy Hill,Lilo & Stitch
612,Mrs. Judson,Diana Chesney,The Great Mouse Detective
613,Mrs. Jumbo,Verna Felton,Dumbo
614,Mrs. Otterton,Octavia Spencer,Zootopia
615,Mrs. Possum,Mary Lansing,Bambi
616,Mrs. Potts,Angela Lansbury,Beauty and the Beast
617,Mrs. Quail,Thelma Boardman,Bambi
618,Mufasa,James Earl Jones,The Lion King
619,Mulan,Ming-Na Wen; Lea Salonga,Mulan
620,Mungo,Jason Marsden,Tarzan
621,Mushu,Eddie Murphy,Mulan
622,Myrtle Edmonds,Miranda Paige Walls; Liliana Mumy,Lilo & Stitch
623,Nakoma,Michelle St. John,Pocahontas
624,Nala,Moira Kelly; Niketa Calame,The Lion King
625,Nana,None,Peter Pan
626,Nancy Tremaine,Idina Menzel,Enchanted
627,Nani Pelekai,Tia Carrere,Lilo & Stitch
628,Nanny,Martha Wentworth,One Hundred and One Dalmatians
629,Napoleon the Bloodhound,Pat Buttram,The Aristocats
630,Nasira,Jodi Benson,Aladdin in Nasira's Revenge
631,Nathaniel,Timothy Spall,Enchanted
632,Natives,Jeff Bennett,Timon and Pumbaa
633,Ned the Baboon,Charlie Adler,Jungle Cubs
634,Neera,Julianna Margulies,Dinosaur
635,NegaDuck,Jim Cummings,Darkwing Duck
636,Nessus,Jim Cummings,Hercules
637,Nibs,Jeffrey Silver,Peter Pan
638,"Nicholas ""Nick"" P. Wilde",Jason Bateman,Zootopia
639,Nita,Mandy Moore,Brother Bear 2
640,Nuka,Andy Dick,The Lion King II: Simba's Pride
641,Nurse Mouse,Russi Taylor,The Rescuers Down Under
642,Nutsy the Vulture,Ken Curtis,Robin Hood
643,Oaken,Chris Williams,Frozen
644,The Octopus,Frank Welker,Return to Never Land
645,Olaf,Josh Gad,Frozen
646,Oliver,Joey Lawrence,Oliver & Company
647,Olivia Flaversham,Susanne Pollatschek,The Great Mouse Detective
648,Ollie the Pig,Charlie Dell,Home on the Range
649,Onus,Corey Burton,Treasure Planet
650,Orddu,Eda Reiss Merin,The Black Cauldron
651,Orgoch,Billie Hayes,The Black Cauldron
652,Orville,Jim Jordan,The Rescuers
653,Orwen,Adele Malis-Morey,The Black Cauldron
654,Oswald the Lucky Rabbit,Frank Welker,Trolley Troubles
655,Otto,J. Pat O'Malley,Robin Hood
656,Owl,Hal Smith,Winnie the Pooh and the Honey Tree
657,Pacha,John Goodman,The Emperor's New Groove
658,Pain and Panic,Bobcat Goldthwait; Matt Frewer,Hercules
659,Panchito Pistoles,Joaquin Garay; Carlos Alazraqui,The Three Caballeros
660,Pascal,Frank Welker,Tangled
661,Patch,Mickey Maga,One Hundred and One Dalmatians
662,Pearl Gesner,Carole Cook,Home on the Range
663,Peg,Peggy Lee,Lady and the Tramp
664,Peg Pete,April Winchell,Goof Troop
665,Pegasus,Frank Welker,Hercules
666,Penny's Mom,Grey DeLisle,Bolt
667,Penny,Sandra Abbott,One Hundred and One Dalmatians
668,Penny,Michelle Stacy,The Rescuers
669,Penny,Miley Cyrus,Bolt
670,Pepper Ann Pearson,Kathleen Wilhoite,Pepper Ann
671,Peppo the Italian Cat,Vito Scotti,The Aristocats
672,Percival C. McLeach,George C. Scott,The Rescuers Down Under
673,Percy,Danny Mann,Pocahontas
674,Perdita,Cate Bauer,101 Dalmatians
675,Periwinkle,Lucy Hale,Secret of the Wings
676,Pete,Billy Bletcher; Jim Cummings,Alice Solves the Puzzle
677,Pete Junior,Rob Paulsen,Goof Troop
678,Peter Pan,Bobby Driscoll,Peter Pan
679,Peter Pig,Pinto Colvig,The Wise Little Hen
680,The Phantom Blot,Frank Welker; John O'Hurley,DuckTales
681,Philoctetes,Danny DeVito,Hercules
682,Philippe the Horse,Hal Smith,Beauty and the Beast
683,Piglet,John Fiedler,Winnie the Pooh and the Blustery Day
684,Pinocchio,Dickie Jones,Pinocchio
685,Pip,Jeff Bennett; Kevin Lima,Enchanted
686,Pistol Pete,Nancy Cartwright,Goof Troop
687,Plio,Alfre Woodard,Dinosaur
688,Pluto,Pinto Colvig; Bill Farmer,The Chain Gang
689,Pocahontas,Irene Bedard; Judy Kuhn,Pocahontas
690,Poe De Spell,Terry McGovern; Frank Welker,DuckTales
691,Pom-Pom,Frank Welker,Cinderella II: Dreams Come True
692,Pongo,Rod Taylor,101 Dalmatians
693,Powerline,Tevin Campbell,A Goofy Movie
694,Practical Pig,Pinto Colvig,Three Little Pigs
695,Preston B. Whitmore,John Mahoney,Atlantis: The Lost Empire
696,Prince,Harry Stockwell,Snow White and the Seven Dwarfs
697,Prince Charming,William Phipps,Cinderella
698,Prince Edward,James Marsden,Enchanted
699,Prince Eric,Christopher Daniel Barnes,The Little Mermaid
700,Prince Hans,Santino Fontana,Frozen
701,Prince James,Zach Callison,Sofia the First
702,Prince John,Peter Ustinov,Robin Hood
703,Prince Naveen,Bruno Campos,The Princess and the Frog
704,Prince Phillip,Bill Shirley,Sleeping Beauty
705,Princess,Queenie Leonard,One Hundred and One Dalmatians
706,Princess Amber,Darcy Rose Byrnes,Sofia the First
707,Princess Eilonwy,Susan Sheridan,The Black Cauldron
708,Princess Jasmine,Linda Larkin; Lea Salonga,Aladdin
709,Princess Kidagakash,Cree Summer,Atlantis: The Lost Empire
710,Principal Mazur,Wallace Shawn,A Goofy Movie
711,Prissy the Elephant,Sarah Selby,Dumbo
712,Professor Norton Nimnul,Jim Cummings,Chip 'n Dale Rescue Rangers
713,Professor Ratigan,Vincent Price,The Great Mouse Detective
714,Pronk Oryx-Antlerson,Jared Bush,Zootopia
715,Prudence,Holland Taylor,Cinderella II: Dreams Come True
716,Psycho the Weasel,Charles Fleischer,Who Framed Roger Rabbit
717,Pua,None,Moana
718,Pumbaa,Ernie Sabella,The Lion King
719,Quackerjack,Michael Bell,Darkwing Duck
720,Quasimodo,Tom Hulce,The Hunchback of Notre Dame
721,Queen,Kari Wahlgren,Tangled Ever After
722,Queen Athena,Lorelei Hill Butters,The Little Mermaid: Ariel's Beginning
723,Queen Clarion,Anjelica Huston,Disney Fairies
724,Queen Grimhilde,Lucille La Verne,Snow White and the Seven Dwarfs
725,Queen Leah,Barbara Dirikson,Sleeping Beauty
726,Queen Miranda,Sara Ramirez,Sofia the First
727,Queen Mousetoria,Eve Brenner,The Great Mouse Detective
728,Queen Narissa,Susan Sarandon,Enchanted
729,The Queen of Hearts,Verna Felton,Alice in Wonderland
730,Quint,Corey Burton,Timon and Pumbaa
731,Rabbit,Junius Matthews,Winnie the Pooh and the Honey Tree
732,Rachel,None,Fantasia 2000
733,Rafiki,Robert Guillaume,The Lion King
734,Rajah,Frank Welker,Aladdin
735,Rancis Fluggerbutter,Jamie Elman,Wreck-It Ralph
736,Rapunzel,Mandy Moore,Tangled
737,Ratty,Claud Allister,The Adventures of Ichabod and Mr. Toad
738,Ray the Firefly,Jim Cummings,The Princess and the Frog
739,Razoul,Jim Cummings,Aladdin
740,Red,Peter Firth,The Rescuers Down Under
741,Rhino,Mark Walton,Bolt
742,Rhoda Dendron,Jennifer Darling,Darkwing Duck
743,Rico,Charles Dennis,Home on the Range
744,The Ringmaster,Herman Bing,Dumbo
745,Rita,Sheryl Lee Ralph,Oliver & Company
746,"Robert ""Bobby"" Zimmeruski",Pauly Shore,A Goofy Movie
747,Robin Hood,Brian Bedford,Robin Hood
748,Roger Rabbit,Charles Fleischer,Who Framed Roger Rabbit
749,Roger Radcliffe,Ben Wright,101 Dalmatians
750,Rolly,Barbara Beaird,One Hundred and One Dalmatians
751,Ronno,Anthony Ghannam,Bambi II
752,Roo,Clint Howard,Winnie the Pooh and the Honey Tree
753,Roo,Dori Whittaker,Winnie the Pooh and the Honey Tree
754,Roquefort the Mouse,Sterling Holloway,The Aristocats
755,Roscoe,Taurean Blacque,Oliver & Company
756,The Rose,Doris Lloyd,Alice in Wonderland
757,Rosetta,Kristin Chenoweth,Disney Fairies
758,Roxanne,Kellie Martin,A Goofy Movie
759,Ruby,Cathy Moriarty,Lady and the Tramp II: Scamp's Adventure
760,Rufus,John McIntire,The Rescuers
761,Runt of the Litter,Steve Zahn,Chicken Little
762,Rusty the Dog,G.W. Bailey,Home on the Range
763,Rutt and Tuke,Rick Moranis; Dave Thomas,Brother Bear
764,Sa'luk,Jerry Orbach,Aladdin and the King of Thieves
765,Sadira,Kellie Martin,Aladdin
766,Sam Flynn,Garrett John Hedlund,Tron: Legacy
767,Sam the Sheriff,Richard Riehle,Home on the Range
768,Sarabi,Madge Sinclair,The Lion King
769,Sarafina,Zoe Leader,The Lion King
770,Sarah Hawkins,Laurie Metcalf,Treasure Planet
771,Sarousch,Michael McKean,The Hunchback of Notre Dame II
772,Scamp,Scott Wolf,Lady and the Tramp II: Scamp's Adventure
773,Scar,Jeremy Irons,The Lion King
774,Scat Cat,Scatman Crothers,The Aristocats
775,Scratchy,None,Lady and the Tramp II: Scamp's Adventure
776,Scrooge McDuck,Alan Young,DuckTales
777,Scroop,Michael Wincott,Treasure Planet
778,Scuttle,Buddy Hackett,The Little Mermaid
779,Sebastian,Samuel E. Wright,The Little Mermaid
780,Secretary Bird,Lennie Weinrib,Bedknobs and Broomsticks
781,Sergeant Calhoun,Jane Lynch,Wreck-It Ralph
782,Sgt. Tibbs,David Frankham,101 Dalmatians
783,Shan Yu,Miguel Ferrer,Mulan
784,Shanti (The Girl),Darleen Carr,The Jungle Book
785,Sha-ron,Mary Gibbs,Mulan 2
786,Shenzi,Whoopi Goldberg,The Lion King
787,Shere Khan,George Sanders,The Jungle Book
788,Sheriff of Nottingham,Pat Buttram,Robin Hood
789,Shun Gon the Chinese Cat,Paul Winchell,The Aristocats
790,Si & Am,Peggy Lee,Lady and the Tramp
791,Silvermist,Lucy Liu,Disney Fairies
792,Simba,Jonathan Taylor Thomas,The Lion King
793,Simba,Matthew Broderick,The Lion King
794,Sir Ector,Sebastian Cabot,The Sword in the Stone
795,Sir Giles,Claud Allister,The Reluctant Dragon
796,Sir Hiss,Terry-Thomas,Robin Hood
797,Sir Kay,Norman Alden,The Sword in the Stone
798,Sir Pellinore,Alan Napier,The Sword in the Stone
799,Sis Bunny,Dana Laurita,Robin Hood
800,Sitka,D. B. Sweeney,Brother Bear
801,Skippy Bunny,Billy Whittaker,Robin Hood
802,Sleepy,Pinto Colvig,Snow White and the Seven Dwarfs
803,Slightly,Stuffy Singer,Peter Pan
804,Smarty the Weasel,David Lander,Who Framed Roger Rabbit
805,Smolder the Bear,Jim Cummings,Timon and Pumbaa
806,Sneezy,Billy Gilbert,Snow White and the Seven Dwarfs
807,Snow White,Adriana Caselotti,Snow White and the Seven Dwarfs
808,Snowanna Rainbeau,None,Wreck-It Ralph
809,Princess Sofia,Ariel Winter,Sofia the First
810,Sour Bill,Rich Moore,Wreck-It Ralph
811,Sparky,Mickey Rooney,Lady and the Tramp II: Scamp's Adventure
812,Speedy the Snail,Corey Burton,Timon and Pumbaa
813,Spot,Tara Strong,101 Dalmatians: The Series
814,Spring Sprite,Helena Bonham Carter,Fantasia 2000
815,Squeaks the Caterpillar,None,The Fox and the Hound
816,Stabbington Brothers,Ron Perlman,Tangled
817,Steelbeak,Rob Paulsen,Darkwing Duck
818,Stitch,Chris Sanders,Lilo & Stitch
819,Stromboli,Charles Judels,Pinocchio
820,Stu Hopps,Don Lake,Zootopia
821,Stupid the Weasel,Fred Newman,Who Framed Roger Rabbit
822,The Sultan,Douglas Seale,Aladdin
823,Sultan the Footstool,Frank Welker,Beauty and the Beast
824,Suri,Hayden Panettiere,Dinosaur
825,Sven,None,Frozen
826,"Swizzle ""The Swizz"" Malarkey",None,Wreck-It Ralph
827,Sykes,Robert Loggia,Oliver & Company
828,Sylvia Marpole,Bebe Neuwirth,An Extremely Goofy Movie
829,Tadashi Hamada,Daniel Henney,Big Hero 6
830,Taffyta Muttonfudge,Mindy Kaling,Wreck-It Ralph
831,Tagalong Bunny,Dori Whittaker,Robin Hood
832,Tamatoa,Jemaine Clement,Moana
833,Tanana,Joan Copeland,Brother Bear
834,Tank,Brad Garrett,An Extremely Goofy Movie
835,Tank Muddlefoot,Dana Hill,Darkwing Duck
836,Tantor,Wayne Knight,Tarzan
837,Taran,Grant Bardsley,The Black Cauldron
838,Tarzan,Tony Goldwyn,Tarzan
839,Tarzan,Alex D. Linz,Tarzan
840,Taurus Bulba,Tim Curry,Darkwing Duck
841,Ted Betterhead,Diedrich Bader,The Country Bears
842,Terence,Jesse McCartney,Disney Fairies
843,Terk,Rosie O'Donnell,Tarzan
844,Terpsichore,LaChanze,Hercules
845,Thalia,Roz Ryan,Hercules
846,Thomas,Christian Bale,Pocahontas
847,Thomas O'Malley,Phil Harris,The Aristocats
848,Thug,Randy Savage,Bolt
849,Thumper,Peter Behn; Sam Edwards,Bambi
850,Thumper's Mother,Margaret Lee,Bambi
851,Tiana,Anika Noni Rose,The Princess and the Frog
852,Tiger Lily,Cree Summer,Peter Pan
853,Tigger,Paul Winchell,Winnie the Pooh and the Blustery Day
854,Tillie Tiger,Alyce Ardell,Silly Symphonies
855,Timon,Nathan Lane,The Lion King
856,Timon's Mother,Julie Kavner,The Lion King 1½
857,Timothy Q. Mouse,Edward Brophy,Dumbo
858,Tina,Catherine O'Hara,Chicken Little
859,Tinker Bell,Mae Whitman,Peter Pan
860,Tino Tonitini,Jason Marsden,The Weekenders
861,Tiny,Joe Mateo,Meet the Robinsons
862,Tip,Max Casella,The Little Mermaid II: Return to the Sea
863,Tipo,Eli Russell Linnetz,The Emperor's New Groove
864,Tito,Cheech Marin,Oliver & Company
865,Tobias the Reluctant Dragon,Barnett Parker,The Reluctant Dragon
866,Toby the Dog,Frank Welker,The Great Mouse Detective
867,Toby Tortoise,Eddie Holden,The Tortoise and the Hare
868,Toby Turtle,Richie Sanders,Robin Hood
869,Tod,Keith Coogan; Mickey Rooney,The Fox and the Hound
870,Tootles,None,Peter Pan
871,Toots,Frank Welker,Bonkers
872,Toulouse,Gary Dubin,The Aristocats
873,Tramp,Larry Roberts,Lady and the Tramp
874,Trigger the Vulture,George Lindsey,Robin Hood
875,Trusty,Bill Baucom,Lady and the Tramp
876,Tug,Michael Clarke Duncan,Brother Bear
877,Tui Waialiki,Temuera Morrison,Moana
878,Turkey Lurkey,Don Knotts,Chicken Little
879,Tuskernini,Kenneth Mars,Darkwing Duck
880,Tweedledum and Tweedledee,J. Pat O'Malley,Alice in Wonderland
881,Two Fingers,Paul Briggs,The Princess and the Frog
882,Uncle Art,Adam West,Meet the Robinsons
883,Uncle Max,Jerry Stiller,The Lion King 1½
884,Uncle Waldo,Bill Thompson,The Aristocats
885,Url,None,Dinosaur
886,Ursula,Pat Carroll,The Little Mermaid
887,Vanellope von Schweetz,Sarah Silverman,Wreck-It Ralph
888,Vanessa (The Little Mermaid),Pat Carroll; Jodi Benson,The Little Mermaid
889,Veteran Cat,Diedrich Bader,Bolt
890,Victor,Charles Kimbrough,The Hunchback of Notre Dame
891,Vidia,Pamela Adlon,Disney Fairies
892,"Vincenzo ""Vinny"" Santorini",Don Novello,Atlantis: The Lost Empire
893,Vitani,Lacey Chabert; Jennifer Lien,The Lion King II: Simba's Pride
894,Vixey,Sandy Duncan,The Fox and the Hound
895,Vladimir Goudenov Grizzlikof,Ron Feinberg,Darkwing Duck
896,Vulture Police,Townsend Coleman; Brian Cummings,Timon and Pumbaa
897,Waffles,Frank Welker,Goof Troop
898,The Walrus,J. Pat O'Malley,Alice in Wonderland
899,Webby Vanderquack,Russi Taylor,DuckTales
900,Webster,Jim Cummings,Belle's Magical World
901,Wendy Darling,Kathryn Beaumont,Peter Pan
902,Wesley,Steve Buscemi,Home on the Range
903,Wheezy the Weasel,June Foray,Who Framed Roger Rabbit
904,White Rabbit,Bill Thompson,Alice in Wonderland
905,Widow Tweed,Jeanette Nolan,The Fox and the Hound
906,Wiggins,David Ogden Stiers,Pocahontas
907,Wilbur,John Candy,The Rescuers Down Under
908,Wilbur Robinson,Wesley Singerman,Meet the Robinsons
909,Wilhelmina Packard,Florence Stanley,Atlantis: The Lost Empire
910,Willie the Giant,Billy Gilbert,Fun and Fancy Free
911,Winifred the Elephant,Verna Felton,The Jungle Book
912,Winkie the Barman,Oliver Wallace,The Adventures of Ichabod and Mr. Toad
913,Winnie the Pooh,Sterling Holloway,Winnie the Pooh and the Honey Tree
914,Winston,William Glover,Oliver & Company
915,Witherspoon,None,Belle's Magical World
916,Woolter the Ram,John DiMaggio,Zootopia
917,Wormwood the Raven,Jim Cummings,Sofia the First
918,Wreck-It Ralph,John C. Reilly,Wreck-It Ralph
919,Wynchel,Adam Carolla,Wreck-It Ralph
920,Xerxes,Frank Welker,Aladdin (TV series)
921,Yao,Harvey Fierstein,Mulan
922,Yar,Ossie Davis,Dinosaur
923,Yax,Tommy Chong,Zootopia
924,Yen Sid,Corey Burton,Fantasia
925,Yo-Yo,None,Fantasia 2000
926,Yzma,Eartha Kitt,The Emperor's New Groove
927,Zarina,Christina Hendricks,The Pirate Fairy
928,Zazu,Rowan Atkinson,The Lion King
929,Zephyr,Haley Joel Osment,The Hunchback of Notre Dame II
930,Zeus,Rip Torn,Hercules
931,Ziggy the Vulture,Digby Wolfe,The Jungle Book
932,Zini,Max Casella,Dinosaur
933,Zipper,Corey Burton,Chip 'n Dale Rescue Rangers
934,Zira,Suzanne Pleshette,The Lion King II: Simba's Pride
